GISJOIN,YEAR,GEOID,GEOCODE,STATE,COUNTY,COUNTYA,TRACTA,U7I001,U7I002,U7I003,UrbanThreshold,RuralThreshold
G5500050000602,2020,1400000US55005000602,55005000602,Wisconsin,Barron County,5,602,3689,3341,348,90.5665492,9.4334508
G5500050000800,2020,1400000US55005000800,55005000800,Wisconsin,Barron County,5,800,5527,0,5527,0,100
G5500050000900,2020,1400000US55005000900,55005000900,Wisconsin,Barron County,5,900,4961,0,4961,0,100
G5500050001001,2020,1400000US55005001001,55005001001,Wisconsin,Barron County,5,1001,1935,0,1935,0,100
G5500050001003,2020,1400000US55005001003,55005001003,Wisconsin,Barron County,5,1003,1607,0,1607,0,100
G5500050001004,2020,1400000US55005001004,55005001004,Wisconsin,Barron County,5,1004,3988,0,3988,0,100
G5500070960100,2020,1400000US55007960100,55007960100,Wisconsin,Bayfield County,7,960100,3241,0,3241,0,100
G5500070960200,2020,1400000US55007960200,55007960200,Wisconsin,Bayfield County,7,960200,1902,0,1902,0,100
G5500070960300,2020,1400000US55007960300,55007960300,Wisconsin,Bayfield County,7,960300,3671,0,3671,0,100
G5500070960401,2020,1400000US55007960401,55007960401,Wisconsin,Bayfield County,7,960401,2080,0,2080,0,100
G5500070960402,2020,1400000US55007960402,55007960402,Wisconsin,Bayfield County,7,960402,3094,0,3094,0,100
G5500070960600,2020,1400000US55007960600,55007960600,Wisconsin,Bayfield County,7,960600,2232,0,2232,0,100
G5500070990000,2020,1400000US55007990000,55007990000,Wisconsin,Bayfield County,7,990000,0,0,0,,
G5500090000100,2020,1400000US55009000100,55009000100,Wisconsin,Brown County,9,100,2596,2596,0,100,0
G5500090000200,2020,1400000US55009000200,55009000200,Wisconsin,Brown County,9,200,6093,6093,0,100,0
G5500090000302,2020,1400000US55009000302,55009000302,Wisconsin,Brown County,9,302,4722,4722,0,100,0
G5500090000303,2020,1400000US55009000303,55009000303,Wisconsin,Brown County,9,303,2806,2806,0,100,0
G5500090000401,2020,1400000US55009000401,55009000401,Wisconsin,Brown County,9,401,4880,4880,0,100,0
G5500090000402,2020,1400000US55009000402,55009000402,Wisconsin,Brown County,9,402,2206,2206,0,100,0
G5500090000500,2020,1400000US55009000500,55009000500,Wisconsin,Brown County,9,500,2949,2949,0,100,0
G5500090000600,2020,1400000US55009000600,55009000600,Wisconsin,Brown County,9,600,3822,3822,0,100,0
G5500090000700,2020,1400000US55009000700,55009000700,Wisconsin,Brown County,9,700,4896,4896,0,100,0
G5500090000800,2020,1400000US55009000800,55009000800,Wisconsin,Brown County,9,800,1653,1653,0,100,0
G5500090000900,2020,1400000US55009000900,55009000900,Wisconsin,Brown County,9,900,4008,4008,0,100,0
G5500090001000,2020,1400000US55009001000,55009001000,Wisconsin,Brown County,9,1000,1504,1504,0,100,0
G5500090001100,2020,1400000US55009001100,55009001100,Wisconsin,Brown County,9,1100,2113,2113,0,100,0
G5500090001200,2020,1400000US55009001200,55009001200,Wisconsin,Brown County,9,1200,2196,2196,0,100,0
G5500090001300,2020,1400000US55009001300,55009001300,Wisconsin,Brown County,9,1300,2943,2943,0,100,0
G5500090001400,2020,1400000US55009001400,55009001400,Wisconsin,Brown County,9,1400,3925,3925,0,100,0
G5500090001600,2020,1400000US55009001600,55009001600,Wisconsin,Brown County,9,1600,6696,6696,0,100,0
G5500090001701,2020,1400000US55009001701,55009001701,Wisconsin,Brown County,9,1701,3719,3719,0,100,0
G5500090001702,2020,1400000US55009001702,55009001702,Wisconsin,Brown County,9,1702,3519,3519,0,100,0
G5500090001801,2020,1400000US55009001801,55009001801,Wisconsin,Brown County,9,1801,5835,5734,101,98.26906598,1.730934019
G5500090001802,2020,1400000US55009001802,55009001802,Wisconsin,Brown County,9,1802,6515,6203,312,95.21105142,4.78894858
G5500090002001,2020,1400000US55009002001,55009002001,Wisconsin,Brown County,9,2001,8553,8553,0,100,0
G5500090002002,2020,1400000US55009002002,55009002002,Wisconsin,Brown County,9,2002,5166,5166,0,100,0
G5500090002003,2020,1400000US55009002003,55009002003,Wisconsin,Brown County,9,2003,3858,3759,99,97.43390358,2.566096423
G5500090010100,2020,1400000US55009010100,55009010100,Wisconsin,Brown County,9,10100,6506,6506,0,100,0
G5500090010201,2020,1400000US55009010201,55009010201,Wisconsin,Brown County,9,10201,4601,4601,0,100,0
G5500090010202,2020,1400000US55009010202,55009010202,Wisconsin,Brown County,9,10202,5453,5453,0,100,0
G5500090010300,2020,1400000US55009010300,55009010300,Wisconsin,Brown County,9,10300,7289,7149,140,98.07929757,1.920702428
G5500090020100,2020,1400000US55009020100,55009020100,Wisconsin,Brown County,9,20100,5817,0,5817,0,100
G5500090020203,2020,1400000US55009020203,55009020203,Wisconsin,Brown County,9,20203,7028,5085,1943,72.35344337,27.64655663
G5500090020204,2020,1400000US55009020204,55009020204,Wisconsin,Brown County,9,20204,5792,2436,3356,42.05801105,57.94198895
G5500090020502,2020,1400000US55009020502,55009020502,Wisconsin,Brown County,9,20502,5425,5204,221,95.92626728,4.073732719
G5500090020504,2020,1400000US55009020504,55009020504,Wisconsin,Brown County,9,20504,6270,5781,489,92.20095694,7.799043062
G5500090020505,2020,1400000US55009020505,55009020505,Wisconsin,Brown County,9,20505,5400,5400,0,100,0
G5500090020506,2020,1400000US55009020506,55009020506,Wisconsin,Brown County,9,20506,2855,2855,0,100,0
G5500090020600,2020,1400000US55009020600,55009020600,Wisconsin,Brown County,9,20600,5632,0,5632,0,100
G5500090020702,2020,1400000US55009020702,55009020702,Wisconsin,Brown County,9,20702,7600,4711,2889,61.98684211,38.01315789
G5500090020703,2020,1400000US55009020703,55009020703,Wisconsin,Brown County,9,20703,7598,7393,205,97.30192156,2.698078442
G5500090020704,2020,1400000US55009020704,55009020704,Wisconsin,Brown County,9,20704,8337,8227,110,98.68058054,1.319419455
G5500090020800,2020,1400000US55009020800,55009020800,Wisconsin,Brown County,9,20800,2351,2351,0,100,0
G5500090020900,2020,1400000US55009020900,55009020900,Wisconsin,Brown County,9,20900,2800,2800,0,100,0
G5500090021000,2020,1400000US55009021000,55009021000,Wisconsin,Brown County,9,21000,2841,2841,0,100,0
G5500090021200,2020,1400000US55009021200,55009021200,Wisconsin,Brown County,9,21200,5102,5102,0,100,0
G5500090021301,2020,1400000US55009021301,55009021301,Wisconsin,Brown County,9,21301,2954,2954,0,100,0
G5500090021302,2020,1400000US55009021302,55009021302,Wisconsin,Brown County,9,21302,6209,6209,0,100,0
G5500090021303,2020,1400000US55009021303,55009021303,Wisconsin,Brown County,9,21303,3776,3776,0,100,0
G5500090021304,2020,1400000US55009021304,55009021304,Wisconsin,Brown County,9,21304,2206,2206,0,100,0
G5500090021400,2020,1400000US55009021400,55009021400,Wisconsin,Brown County,9,21400,8174,929,7245,11.36530462,88.63469538
G5500090021500,2020,1400000US55009021500,55009021500,Wisconsin,Brown County,9,21500,3248,0,3248,0,100
G5500090021600,2020,1400000US55009021600,55009021600,Wisconsin,Brown County,9,21600,6441,110,6331,1.707809346,98.29219065
G5500090940002,2020,1400000US55009940002,55009940002,Wisconsin,Brown County,9,940002,4698,4411,287,93.89101745,6.108982546
G5500090940003,2020,1400000US55009940003,55009940003,Wisconsin,Brown County,9,940003,3715,3715,0,100,0
G5500090940004,2020,1400000US55009940004,55009940004,Wisconsin,Brown County,9,940004,2817,2817,0,100,0
G5500090940005,2020,1400000US55009940005,55009940005,Wisconsin,Brown County,9,940005,7279,4786,2493,65.75078994,34.24921006
G5500090940006,2020,1400000US55009940006,55009940006,Wisconsin,Brown County,9,940006,4378,1691,2687,38.6249429,61.3750571
G5500090940007,2020,1400000US55009940007,55009940007,Wisconsin,Brown County,9,940007,3808,3438,370,90.28361345,9.716386555
G5500090940008,2020,1400000US55009940008,55009940008,Wisconsin,Brown County,9,940008,6105,5496,609,90.02457002,9.975429975
G5500090980000,2020,1400000US55009980000,55009980000,Wisconsin,Brown County,9,980000,1062,1062,0,100,0
G5500110960100,2020,1400000US55011960100,55011960100,Wisconsin,Buffalo County,11,960100,2622,0,2622,0,100
G5500110960200,2020,1400000US55011960200,55011960200,Wisconsin,Buffalo County,11,960200,2979,0,2979,0,100
G5500110960300,2020,1400000US55011960300,55011960300,Wisconsin,Buffalo County,11,960300,2050,0,2050,0,100
G5500110960400,2020,1400000US55011960400,55011960400,Wisconsin,Buffalo County,11,960400,2471,0,2471,0,100
G5500110960500,2020,1400000US55011960500,55011960500,Wisconsin,Buffalo County,11,960500,3195,0,3195,0,100
G5500130970400,2020,1400000US55013970400,55013970400,Wisconsin,Burnett County,13,970400,4323,0,4323,0,100
G5500130970600,2020,1400000US55013970600,55013970600,Wisconsin,Burnett County,13,970600,2082,0,2082,0,100
G5500130970700,2020,1400000US55013970700,55013970700,Wisconsin,Burnett County,13,970700,2600,0,2600,0,100
G5500130970800,2020,1400000US55013970800,55013970800,Wisconsin,Burnett County,13,970800,2468,0,2468,0,100
G5500130970900,2020,1400000US55013970900,55013970900,Wisconsin,Burnett County,13,970900,3036,0,3036,0,100
G5500130971000,2020,1400000US55013971000,55013971000,Wisconsin,Burnett County,13,971000,2017,0,2017,0,100
G5500150020100,2020,1400000US55015020100,55015020100,Wisconsin,Calumet County,15,20100,4912,0,4912,0,100
G5500150020200,2020,1400000US55015020200,55015020200,Wisconsin,Calumet County,15,20200,3840,0,3840,0,100
G5500150020303,2020,1400000US55015020303,55015020303,Wisconsin,Calumet County,15,20303,3762,3762,0,100,0
G5500150020304,2020,1400000US55015020304,55015020304,Wisconsin,Calumet County,15,20304,3591,3591,0,100,0
G5500150020306,2020,1400000US55015020306,55015020306,Wisconsin,Calumet County,15,20306,7047,2400,4647,34.05704555,65.94295445
G5500150020308,2020,1400000US55015020308,55015020308,Wisconsin,Calumet County,15,20308,4943,4432,511,89.66214849,10.33785151
G5500150020400,2020,1400000US55015020400,55015020400,Wisconsin,Calumet County,15,20400,3459,0,3459,0,100
G5500150020500,2020,1400000US55015020500,55015020500,Wisconsin,Calumet County,15,20500,5155,0,5155,0,100
G5500150020600,2020,1400000US55015020600,55015020600,Wisconsin,Calumet County,15,20600,5076,0,5076,0,100
G5500150020700,2020,1400000US55015020700,55015020700,Wisconsin,Calumet County,15,20700,4448,4448,0,100,0
G5500150020800,2020,1400000US55015020800,55015020800,Wisconsin,Calumet County,15,20800,6209,6209,0,100,0
G5500170010100,2020,1400000US55017010100,55017010100,Wisconsin,Chippewa County,17,10100,3142,3142,0,100,0
G5500170010200,2020,1400000US55017010200,55017010200,Wisconsin,Chippewa County,17,10200,7331,6135,1196,83.68571818,16.31428182
G5500170010300,2020,1400000US55017010300,55017010300,Wisconsin,Chippewa County,17,10300,5494,5487,7,99.87258828,0.127411722
G5500170010400,2020,1400000US55017010400,55017010400,Wisconsin,Chippewa County,17,10400,5490,1142,4348,20.80145719,79.19854281
G5500170010500,2020,1400000US55017010500,55017010500,Wisconsin,Chippewa County,17,10500,5854,5656,198,96.6176973,3.382302699
G5500170010700,2020,1400000US55017010700,55017010700,Wisconsin,Chippewa County,17,10700,7892,2968,4924,37.607704,62.392296
G5500170010800,2020,1400000US55017010800,55017010800,Wisconsin,Chippewa County,17,10800,7428,0,7428,0,100
G5500170010900,2020,1400000US55017010900,55017010900,Wisconsin,Chippewa County,17,10900,5131,0,5131,0,100
G5500170011001,2020,1400000US55017011001,55017011001,Wisconsin,Chippewa County,17,11001,3404,0,3404,0,100
G5500170011002,2020,1400000US55017011002,55017011002,Wisconsin,Chippewa County,17,11002,4091,317,3774,7.748716695,92.2512833
G5500170011100,2020,1400000US55017011100,55017011100,Wisconsin,Chippewa County,17,11100,4216,0,4216,0,100
G5500170011200,2020,1400000US55017011200,55017011200,Wisconsin,Chippewa County,17,11200,6824,0,6824,0,100
G5500190950100,2020,1400000US55019950100,55019950100,Wisconsin,Clark County,19,950100,4923,0,4923,0,100
G5500190950200,2020,1400000US55019950200,55019950200,Wisconsin,Clark County,19,950200,4657,0,4657,0,100
G5500190950300,2020,1400000US55019950300,55019950300,Wisconsin,Clark County,19,950300,4705,0,4705,0,100
G5500190950400,2020,1400000US55019950400,55019950400,Wisconsin,Clark County,19,950400,4021,0,4021,0,100
G5500190950500,2020,1400000US55019950500,55019950500,Wisconsin,Clark County,19,950500,4920,0,4920,0,100
G5500190950600,2020,1400000US55019950600,55019950600,Wisconsin,Clark County,19,950600,4773,0,4773,0,100
G5500190950700,2020,1400000US55019950700,55019950700,Wisconsin,Clark County,19,950700,3542,0,3542,0,100
G5500190950800,2020,1400000US55019950800,55019950800,Wisconsin,Clark County,19,950800,3118,0,3118,0,100
G5500210970100,2020,1400000US55021970100,55021970100,Wisconsin,Columbia County,21,970100,4099,0,4099,0,100
G5500210970200,2020,1400000US55021970200,55021970200,Wisconsin,Columbia County,21,970200,5921,0,5921,0,100
G5500210970300,2020,1400000US55021970300,55021970300,Wisconsin,Columbia County,21,970300,4046,2329,1717,57.56302521,42.43697479
G5500210970401,2020,1400000US55021970401,55021970401,Wisconsin,Columbia County,21,970401,2968,2732,236,92.04851752,7.95148248
G5500210970402,2020,1400000US55021970402,55021970402,Wisconsin,Columbia County,21,970402,3878,3647,231,94.0433213,5.9566787
G5500210970500,2020,1400000US55021970500,55021970500,Wisconsin,Columbia County,21,970500,4334,3749,585,86.5020766,13.4979234
G5500210970600,2020,1400000US55021970600,55021970600,Wisconsin,Columbia County,21,970600,4818,394,4424,8.177667082,91.82233292
G5500210970700,2020,1400000US55021970700,55021970700,Wisconsin,Columbia County,21,970700,4386,0,4386,0,100
G5500210970800,2020,1400000US55021970800,55021970800,Wisconsin,Columbia County,21,970800,5770,0,5770,0,100
G5500210970900,2020,1400000US55021970900,55021970900,Wisconsin,Columbia County,21,970900,4823,0,4823,0,100
G5500210971000,2020,1400000US55021971000,55021971000,Wisconsin,Columbia County,21,971000,3937,0,3937,0,100
G5500210971100,2020,1400000US55021971100,55021971100,Wisconsin,Columbia County,21,971100,3733,1395,2338,37.36940798,62.63059202
G5500210971200,2020,1400000US55021971200,55021971200,Wisconsin,Columbia County,21,971200,5777,5499,278,95.18781374,4.812186256
G5500230960100,2020,1400000US55023960100,55023960100,Wisconsin,Crawford County,23,960100,2869,0,2869,0,100
G5500230960200,2020,1400000US55023960200,55023960200,Wisconsin,Crawford County,23,960200,2324,0,2324,0,100
G5500230960300,2020,1400000US55023960300,55023960300,Wisconsin,Crawford County,23,960300,2510,0,2510,0,100
G5500230960400,2020,1400000US55023960400,55023960400,Wisconsin,Crawford County,23,960400,2942,782,2160,26.58055744,73.41944256
G5500230960500,2020,1400000US55023960500,55023960500,Wisconsin,Crawford County,23,960500,1747,1747,0,100,0
G5500230960600,2020,1400000US55023960600,55023960600,Wisconsin,Crawford County,23,960600,3721,3432,289,92.23327063,7.766729374
G5500250000100,2020,1400000US55025000100,55025000100,Wisconsin,Dane County,25,100,2813,2813,0,100,0
G5500250000201,2020,1400000US55025000201,55025000201,Wisconsin,Dane County,25,201,2179,2179,0,100,0
G5500250000202,2020,1400000US55025000202,55025000202,Wisconsin,Dane County,25,202,3120,3120,0,100,0
G5500250000204,2020,1400000US55025000204,55025000204,Wisconsin,Dane County,25,204,5436,5436,0,100,0
G5500250000205,2020,1400000US55025000205,55025000205,Wisconsin,Dane County,25,205,5271,5271,0,100,0
G5500250000301,2020,1400000US55025000301,55025000301,Wisconsin,Dane County,25,301,3718,3718,0,100,0
G5500250000302,2020,1400000US55025000302,55025000302,Wisconsin,Dane County,25,302,2176,2176,0,100,0
G5500250000401,2020,1400000US55025000401,55025000401,Wisconsin,Dane County,25,401,3705,3705,0,100,0
G5500250000402,2020,1400000US55025000402,55025000402,Wisconsin,Dane County,25,402,2641,2641,0,100,0
G5500250000406,2020,1400000US55025000406,55025000406,Wisconsin,Dane County,25,406,3882,3882,0,100,0
G5500250000407,2020,1400000US55025000407,55025000407,Wisconsin,Dane County,25,407,5712,5712,0,100,0
G5500250000408,2020,1400000US55025000408,55025000408,Wisconsin,Dane County,25,408,1989,1989,0,100,0
G5500250000409,2020,1400000US55025000409,55025000409,Wisconsin,Dane County,25,409,4422,4422,0,100,0
G5500250000410,2020,1400000US55025000410,55025000410,Wisconsin,Dane County,25,410,1790,1790,0,100,0
G5500250000501,2020,1400000US55025000501,55025000501,Wisconsin,Dane County,25,501,4893,4893,0,100,0
G5500250000504,2020,1400000US55025000504,55025000504,Wisconsin,Dane County,25,504,7139,7127,12,99.83190923,0.168090769
G5500250000505,2020,1400000US55025000505,55025000505,Wisconsin,Dane County,25,505,3931,3931,0,100,0
G5500250000506,2020,1400000US55025000506,55025000506,Wisconsin,Dane County,25,506,3535,3535,0,100,0
G5500250000600,2020,1400000US55025000600,55025000600,Wisconsin,Dane County,25,600,5821,5821,0,100,0
G5500250000700,2020,1400000US55025000700,55025000700,Wisconsin,Dane County,25,700,3359,3359,0,100,0
G5500250000800,2020,1400000US55025000800,55025000800,Wisconsin,Dane County,25,800,3933,3933,0,100,0
G5500250000901,2020,1400000US55025000901,55025000901,Wisconsin,Dane County,25,901,2246,2246,0,100,0
G5500250000902,2020,1400000US55025000902,55025000902,Wisconsin,Dane County,25,902,5695,5695,0,100,0
G5500250001000,2020,1400000US55025001000,55025001000,Wisconsin,Dane County,25,1000,2518,2518,0,100,0
G5500250001101,2020,1400000US55025001101,55025001101,Wisconsin,Dane County,25,1101,5511,5511,0,100,0
G5500250001102,2020,1400000US55025001102,55025001102,Wisconsin,Dane County,25,1102,4556,4556,0,100,0
G5500250001200,2020,1400000US55025001200,55025001200,Wisconsin,Dane County,25,1200,6436,6436,0,100,0
G5500250001300,2020,1400000US55025001300,55025001300,Wisconsin,Dane County,25,1300,2399,2399,0,100,0
G5500250001401,2020,1400000US55025001401,55025001401,Wisconsin,Dane County,25,1401,6037,6037,0,100,0
G5500250001402,2020,1400000US55025001402,55025001402,Wisconsin,Dane County,25,1402,5429,5429,0,100,0
G5500250001404,2020,1400000US55025001404,55025001404,Wisconsin,Dane County,25,1404,5312,5312,0,100,0
G5500250001405,2020,1400000US55025001405,55025001405,Wisconsin,Dane County,25,1405,3380,3380,0,100,0
G5500250001501,2020,1400000US55025001501,55025001501,Wisconsin,Dane County,25,1501,2377,2377,0,100,0
G5500250001502,2020,1400000US55025001502,55025001502,Wisconsin,Dane County,25,1502,5614,5600,14,99.75062344,0.249376559
G5500250001603,2020,1400000US55025001603,55025001603,Wisconsin,Dane County,25,1603,6733,6733,0,100,0
G5500250001604,2020,1400000US55025001604,55025001604,Wisconsin,Dane County,25,1604,6598,6598,0,100,0
G5500250001605,2020,1400000US55025001605,55025001605,Wisconsin,Dane County,25,1605,3324,3324,0,100,0
G5500250001606,2020,1400000US55025001606,55025001606,Wisconsin,Dane County,25,1606,7514,7514,0,100,0
G5500250001704,2020,1400000US55025001704,55025001704,Wisconsin,Dane County,25,1704,4154,4154,0,100,0
G5500250001706,2020,1400000US55025001706,55025001706,Wisconsin,Dane County,25,1706,2788,2788,0,100,0
G5500250001707,2020,1400000US55025001707,55025001707,Wisconsin,Dane County,25,1707,1680,1680,0,100,0
G5500250001802,2020,1400000US55025001802,55025001802,Wisconsin,Dane County,25,1802,3705,3705,0,100,0
G5500250001804,2020,1400000US55025001804,55025001804,Wisconsin,Dane County,25,1804,4431,4431,0,100,0
G5500250001901,2020,1400000US55025001901,55025001901,Wisconsin,Dane County,25,1901,4232,4232,0,100,0
G5500250001902,2020,1400000US55025001902,55025001902,Wisconsin,Dane County,25,1902,2805,2805,0,100,0
G5500250002000,2020,1400000US55025002000,55025002000,Wisconsin,Dane County,25,2000,6332,6332,0,100,0
G5500250002100,2020,1400000US55025002100,55025002100,Wisconsin,Dane County,25,2100,4761,4761,0,100,0
G5500250002200,2020,1400000US55025002200,55025002200,Wisconsin,Dane County,25,2200,4313,4313,0,100,0
G5500250002301,2020,1400000US55025002301,55025002301,Wisconsin,Dane County,25,2301,3189,3189,0,100,0
G5500250002302,2020,1400000US55025002302,55025002302,Wisconsin,Dane County,25,2302,1851,1851,0,100,0
G5500250002401,2020,1400000US55025002401,55025002401,Wisconsin,Dane County,25,2401,3387,3387,0,100,0
G5500250002402,2020,1400000US55025002402,55025002402,Wisconsin,Dane County,25,2402,3756,3723,33,99.12140575,0.878594249
G5500250002500,2020,1400000US55025002500,55025002500,Wisconsin,Dane County,25,2500,2409,2403,6,99.750934,0.249066002
G5500250002601,2020,1400000US55025002601,55025002601,Wisconsin,Dane County,25,2601,1847,1847,0,100,0
G5500250002602,2020,1400000US55025002602,55025002602,Wisconsin,Dane County,25,2602,6036,6001,35,99.42014579,0.579854208
G5500250002603,2020,1400000US55025002603,55025002603,Wisconsin,Dane County,25,2603,5409,5409,0,100,0
G5500250002700,2020,1400000US55025002700,55025002700,Wisconsin,Dane County,25,2700,3427,3427,0,100,0
G5500250002800,2020,1400000US55025002800,55025002800,Wisconsin,Dane County,25,2800,2196,2196,0,100,0
G5500250002900,2020,1400000US55025002900,55025002900,Wisconsin,Dane County,25,2900,3315,3315,0,100,0
G5500250003001,2020,1400000US55025003001,55025003001,Wisconsin,Dane County,25,3001,4775,4775,0,100,0
G5500250003002,2020,1400000US55025003002,55025003002,Wisconsin,Dane County,25,3002,3558,3558,0,100,0
G5500250003100,2020,1400000US55025003100,55025003100,Wisconsin,Dane County,25,3100,6228,6228,0,100,0
G5500250003200,2020,1400000US55025003200,55025003200,Wisconsin,Dane County,25,3200,2436,2401,35,98.56321839,1.436781609
G5500250010100,2020,1400000US55025010100,55025010100,Wisconsin,Dane County,25,10100,2135,2135,0,100,0
G5500250010200,2020,1400000US55025010200,55025010200,Wisconsin,Dane County,25,10200,1335,1335,0,100,0
G5500250010300,2020,1400000US55025010300,55025010300,Wisconsin,Dane County,25,10300,3804,3804,0,100,0
G5500250010400,2020,1400000US55025010400,55025010400,Wisconsin,Dane County,25,10400,3569,3569,0,100,0
G5500250010501,2020,1400000US55025010501,55025010501,Wisconsin,Dane County,25,10501,4132,4090,42,98.98354308,1.016456922
G5500250010503,2020,1400000US55025010503,55025010503,Wisconsin,Dane County,25,10503,5090,4882,208,95.91355599,4.086444008
G5500250010504,2020,1400000US55025010504,55025010504,Wisconsin,Dane County,25,10504,3591,3591,0,100,0
G5500250010600,2020,1400000US55025010600,55025010600,Wisconsin,Dane County,25,10600,5111,2288,2823,44.76619057,55.23380943
G5500250010701,2020,1400000US55025010701,55025010701,Wisconsin,Dane County,25,10701,6351,6237,114,98.20500709,1.794992915
G5500250010702,2020,1400000US55025010702,55025010702,Wisconsin,Dane County,25,10702,9079,7357,1722,81.03315343,18.96684657
G5500250010801,2020,1400000US55025010801,55025010801,Wisconsin,Dane County,25,10801,6654,6620,34,99.48902916,0.510970845
G5500250010802,2020,1400000US55025010802,55025010802,Wisconsin,Dane County,25,10802,5415,5378,37,99.31671283,0.683287165
G5500250010903,2020,1400000US55025010903,55025010903,Wisconsin,Dane County,25,10903,4530,4375,155,96.57836645,3.421633554
G5500250010905,2020,1400000US55025010905,55025010905,Wisconsin,Dane County,25,10905,5288,5284,4,99.92435703,0.075642965
G5500250010906,2020,1400000US55025010906,55025010906,Wisconsin,Dane County,25,10906,4849,4764,85,98.24706125,1.75293875
G5500250010907,2020,1400000US55025010907,55025010907,Wisconsin,Dane County,25,10907,5614,3728,1886,66.40541503,33.59458497
G5500250010908,2020,1400000US55025010908,55025010908,Wisconsin,Dane County,25,10908,5221,3050,2171,58.4179276,41.5820724
G5500250011000,2020,1400000US55025011000,55025011000,Wisconsin,Dane County,25,11000,4566,4566,0,100,0
G5500250011101,2020,1400000US55025011101,55025011101,Wisconsin,Dane County,25,11101,5107,5107,0,100,0
G5500250011103,2020,1400000US55025011103,55025011103,Wisconsin,Dane County,25,11103,5382,5007,375,93.03232999,6.967670011
G5500250011104,2020,1400000US55025011104,55025011104,Wisconsin,Dane County,25,11104,4415,4179,236,94.65458664,5.345413364
G5500250011201,2020,1400000US55025011201,55025011201,Wisconsin,Dane County,25,11201,3967,3079,888,77.61532644,22.38467356
G5500250011202,2020,1400000US55025011202,55025011202,Wisconsin,Dane County,25,11202,6464,4934,1530,76.33044554,23.66955446
G5500250011301,2020,1400000US55025011301,55025011301,Wisconsin,Dane County,25,11301,7366,7053,313,95.75074667,4.249253326
G5500250011302,2020,1400000US55025011302,55025011302,Wisconsin,Dane County,25,11302,3035,2957,78,97.42998353,2.570016474
G5500250011403,2020,1400000US55025011403,55025011403,Wisconsin,Dane County,25,11403,2925,2837,88,96.99145299,3.008547009
G5500250011404,2020,1400000US55025011404,55025011404,Wisconsin,Dane County,25,11404,7833,7452,381,95.13596323,4.864036768
G5500250011405,2020,1400000US55025011405,55025011405,Wisconsin,Dane County,25,11405,4990,3948,1042,79.11823647,20.88176353
G5500250011406,2020,1400000US55025011406,55025011406,Wisconsin,Dane County,25,11406,4865,4865,0,100,0
G5500250011407,2020,1400000US55025011407,55025011407,Wisconsin,Dane County,25,11407,1929,1706,223,88.43960601,11.56039399
G5500250011504,2020,1400000US55025011504,55025011504,Wisconsin,Dane County,25,11504,4989,4989,0,100,0
G5500250011505,2020,1400000US55025011505,55025011505,Wisconsin,Dane County,25,11505,4400,4400,0,100,0
